NGVS+3-3.l.u,116,63,243.5,1.42E-01
NGVS+3-3.l.z,55,201,3681.2,2.00E-01
NGVS+3-3.s.g,3.44,15,31.8,2.18E+00
NGVS+3-3.s.z,0.87,26,95.7,8.58E+00
NGVS+3-4.l.g,193,103,1430.8,3.89E-02
NGVS+3-4.l.i,70,109,1602.4,1.06E-01
NGVS+3-4.l.u,115,65,257.4,1.43E-01
NGVS+3-4.l.z,65,188,3219.6,1.71E-01
NGVS+3-4.s.g,3.45,15,31.3,2.18E+00
NGVS+3-4.s.z,0.94,27,102.3,7.96E+00
NGVS+4+0.l.g,185,98,1285.6,4.04E-02
NGVS+4+0.l.i,68,130,2262.5,1.09E-01
NGVS+4+0.l.u,131,64,232.4,1.37E-01
NGVS+4+0.l.z,55,162,2524.4,1.89E-01
NGVS+4+0.s.g,3.52,14,28.2,2.13E+00
NGVS+4+0.s.i,1.36,16,37.8,5.53E+00
NGVS+4+0.s.z,0.94,27,100.3,7.96E+00
NGVS+4+1.l.g,185,98,1299.2,4.04E-02
NGVS+4+1.l.i,69,130,2276.2,1.08E-01
NGVS+4+1.l.u,109,66,265,1.50E-01
NGVS+4+1.l.z,62,185,2857.4,1.91E-01
NGVS+4+1.s.g,3.54,14,27.9,2.12E+00
NGVS+4+1.s.z,0.93,28,108,8.03E+00
NGVS+4+2.l.g,186,99,1326,4.01E-02
NGVS+4+2.l.i,67,134,2402.7,1.10E-01
NGVS+4+2.l.u,113,65,257.2,1.46E-01
NGVS+4+2.l.z,54,175,2941.4,1.93E-01
NGVS+4+2.s.g,3.57,14,28.7,2.10E+00
NGVS+4+2.s.z,0.92,28,105.5,8.11E+00
NGVS+4+3.l.g,187,98,1285.8,4.00E-02
NGVS+4+3.l.i,66,133,2370.6,1.13E-01
NGVS+4+3.l.u,110,66,266.9,1.50E-01
NGVS+4+3.l.z,54,174,2914.5,1.94E-01
NGVS+4+3.s.g,3.51,15,30,2.14E+00
NGVS+4+3.s.z,0.93,26,97.2,8.03E+00
NGVS+4+4.l.g,188,97,1267.8,3.99E-02
NGVS+4+4.l.i,67,132,2351.1,1.10E-01
NGVS+4+4.l.u,95,57,240.8,1.41E-01
NGVS+4+4.l.z,54,178,3032,1.92E-01
NGVS+4+4.s.g,3.52,14,28.6,2.13E+00
NGVS+4+4.s.z,0.91,25,83.4,8.23E+00
NGVS+4-1.l.g,186,98,1301.3,4.03E-02
NGVS+4-1.l.i,67,134,2399,1.11E-01
NGVS+4-1.l.u,130,64,228.4,1.37E-01
NGVS+4-1.l.z,55,158,2381.7,1.89E-01
NGVS+4-1.s.g,3.51,14,29.7,2.14E+00
NGVS+4-1.s.i,1.36,19,50.9,5.53E+00
NGVS+4-1.s.z,0.94,27,98.4,8.00E+00
NGVS+4-2.l.g,184,100,1340.4,4.06E-02
NGVS+4-2.l.i,67,132,2342.5,1.11E-01
NGVS+4-2.l.u,118,62,236.7,1.39E-01
NGVS+4-2.l.z,56,155,2299.5,1.86E-01
NGVS+4-2.s.g,3.49,14,29.7,2.15E+00
NGVS+4-2.s.z,0.94,27,101.2,8.00E+00
NGVS+4-3.l.g,179,95,1220.8,4.18E-02
